name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Aaron Connolly,FWD,Brighton,0.5,0,0,-3,0,0.3,78,7,2,0,3.4,1.2,2020-09-14T19:15:00Z,45,5,0,0,0,0,1,0,32205,3,1,32.0,1,0,0,0,55,True,0,1
Albian Ajeti,FWD,West Ham,0.0,0,0,0,0,0.0,447,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,409,2,0,0.0,0,0,0,0,55,True,0,1
Aleksandar Mitrović,FWD,Fulham,0.8,0,0,3,0,0.3,184,2,0,0,1.0,3.0,2020-09-12T11:30:00Z,27,1,0,0,0,0,1,0,1435176,3,0,7.0,1,0,0,0,60,True,0,1
Alexandre Lacazette,FWD,Arsenal,4.0,0,1,29,1,12.7,6,2,0,1,9.9,38.6,2020-09-12T11:30:00Z,86,8,0,0,0,0,1,0,196064,3,0,48.0,7,0,0,0,85,False,0,1
Andy Carroll,FWD,Newcastle,1.5,0,0,3,1,14.0,320,6,0,0,6.9,7.0,2020-09-12T19:00:00Z,87,19,0,0,0,0,1,0,21822,2,0,48.0,2,0,0,0,55,False,0,1
Billy Sharp,FWD,Sheffield Utd,1.8,0,0,-4,0,3.0,343,8,2,0,2.7,1.4,2020-09-14T17:00:00Z,90,20,0,0,0,0,1,0,17568,2,0,23.0,2,0,0,0,60,True,0,1
Bobby Decordova-Reid,FWD,Fulham,0.5,0,0,4,0,0.4,181,2,0,0,0.2,0.0,2020-09-12T11:30:00Z,15,1,0,0,0,0,1,0,8412,3,0,2.0,1,0,0,0,55,True,0,1
Callum Robinson,FWD,West Brom,0.5,0,0,-3,0,1.3,358,5,1,0,0.1,0.0,2020-09-13T13:00:00Z,59,9,0,0,0,0,1,0,13584,3,0,2.0,1,0,0,0,55,True,0,1
Callum Wilson,FWD,Newcastle,2.1,0,2,32,1,23.3,506,6,0,1,10.5,32.0,2020-09-12T19:00:00Z,84,19,0,0,0,0,1,0,538610,2,0,50.0,8,0,0,0,65,False,0,1
Cenk Tosun,FWD,Everton,0.0,0,0,0,0,0.0,153,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,444,1,0,0.0,0,0,0,0,60,False,0,1
Charlie Austin,FWD,West Brom,0.5,0,0,0,0,0.0,415,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,60979,3,0,0.0,0,0,0,0,55,True,0,1
Che Adams,FWD,Southampton,1.8,0,0,3,0,13.1,377,1,1,0,3.9,4.4,2020-09-12T14:00:00Z,84,6,0,0,0,0,1,0,279992,0,1,21.0,2,0,0,0,60,False,0,1
Christian Benteke,FWD,Crystal Palace,0.0,0,0,0,0,0.0,132,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,16,0,0,0,0,1,0,15812,0,1,0.0,0,0,0,0,55,True,0,1
Connor Wickham,FWD,Crystal Palace,0.0,0,0,0,0,0.0,136,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,16,0,0,0,0,1,0,85742,0,1,0.0,0,0,0,0,45,True,0,1
Danny Ings,FWD,Southampton,3.0,0,0,1,0,11.2,366,1,1,0,8.0,8.6,2020-09-12T14:00:00Z,90,6,0,0,0,0,1,0,1467030,0,1,60.0,2,0,0,0,85,False,0,1
David McGoldrick,FWD,Sheffield Utd,1.5,0,0,2,0,2.7,344,8,0,0,1.2,0.8,2020-09-14T17:00:00Z,19,20,0,0,0,0,1,0,64923,2,0,8.0,1,0,0,0,55,True,0,1
Divock Origi,FWD,Liverpool,3.0,0,0,0,0,0.0,256,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,10,0,0,0,0,1,0,71975,3,4,0.0,0,0,0,0,55,True,0,1
Dominic Calvert-Lewin,FWD,Everton,1.8,0,2,34,1,13.7,164,4,0,1,8.6,38.4,2020-09-13T15:30:00Z,88,17,0,0,0,0,1,0,387691,1,0,34.0,8,0,0,0,70,False,0,1
Dwight Gayle,FWD,Newcastle,0.0,0,0,0,0,0.0,329,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,19,0,0,0,0,1,0,3224,2,0,0.0,0,0,0,0,60,False,0,1
Edward Nketiah,FWD,Arsenal,2.8,0,0,3,0,0.0,22,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,3,8,0,0,0,0,1,0,112190,3,0,0.0,1,0,0,0,60,False,0,1
Fabio Silva,FWD,Wolves,1.5,0,0,0,0,0.0,504,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,75604,2,0,0.0,0,0,0,0,55,False,0,1
Florin Andone,FWD,Brighton,0.0,0,0,0,0,0.0,64,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,22063,3,1,0.0,0,0,0,0,50,True,0,1
Glenn Murray,FWD,Brighton,0.0,0,0,0,0,0.0,53,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,17313,3,1,0.0,0,0,0,0,50,True,0,1
Hal Robson-Kanu,FWD,West Brom,0.5,0,0,3,0,0.1,408,5,2,0,0.3,2.0,2020-09-13T13:00:00Z,30,9,0,0,0,0,1,0,24892,3,0,1.0,1,0,0,0,55,True,0,1
Harry Kane,FWD,Spurs,4.5,0,0,7,0,22.5,388,4,1,0,5.2,8.0,2020-09-13T15:30:00Z,90,7,0,0,0,0,1,0,894557,1,0,21.0,2,0,0,0,105,True,0,1
Jamie Vardy,FWD,Leicester,4.8,0,3,52,1,10.3,224,5,0,2,11.8,71.2,2020-09-13T13:00:00Z,90,18,0,0,0,0,1,0,1036141,3,0,36.0,13,0,0,0,100,False,0,1
Joelinton Cássio Apolinário de Lira,FWD,Newcastle,1.8,0,0,4,0,11.2,340,6,0,0,2.6,7.2,2020-09-12T19:00:00Z,15,19,0,0,0,0,1,0,26389,2,0,8.0,1,0,0,0,60,False,0,1
Jordan Ayew,FWD,Crystal Palace,1.8,0,0,-7,1,0.8,140,1,0,0,2.9,9.2,2020-09-12T14:00:00Z,90,16,0,0,0,0,1,0,403544,0,1,19.0,2,0,0,0,60,True,0,1
Jordan Hugill,FWD,West Ham,0.0,0,0,0,0,0.0,444,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,544,2,0,0.0,0,0,0,0,55,True,0,1
Kelechi Iheanacho,FWD,Leicester,2.8,0,0,0,0,0.0,233,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,18,0,0,0,0,1,0,41594,3,0,0.0,0,0,0,0,60,False,0,1
Kenneth Zohore,FWD,West Brom,0.0,0,0,0,0,0.0,416,5,0,0,0.0,0.0,2020-09-13T13:00:00Z,0,9,0,0,0,0,1,0,7467,3,0,0.0,0,0,0,0,50,True,0,1
Leonardo Campana,FWD,Wolves,1.3,0,0,0,0,0.0,476,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,17621,2,0,0.0,0,0,0,0,50,False,0,1
Lys Mousset,FWD,Sheffield Utd,1.8,0,0,0,0,0.0,359,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,28676,2,0,0.0,0,0,0,0,60,True,0,1
Léo Bonatini,FWD,Wolves,1.3,0,0,0,0,0.0,463,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,18422,2,0,0.0,0,0,0,0,50,False,0,1
Michael Obafemi,FWD,Southampton,1.3,0,0,0,0,0.0,381,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,6,0,0,0,0,1,0,158019,0,1,0.0,0,0,0,0,50,False,0,1
Michail Antonio,FWD,West Ham,2.1,0,0,0,0,11.8,437,6,2,0,8.0,5.4,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,642088,2,0,63.0,2,0,0,0,65,True,0,1
Michy Batshuayi,FWD,Crystal Palace,1.8,0,0,0,0,0.0,108,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,16,0,0,0,0,1,0,121096,0,1,0.0,0,0,0,0,60,True,0,1
Moise Kean,FWD,Everton,1.3,0,0,2,0,0.0,169,4,0,0,0.4,0.0,2020-09-13T15:30:00Z,1,17,0,0,0,0,1,0,28479,1,0,4.0,1,0,0,0,60,False,0,1
Neal Maupay,FWD,Brighton,1.1,0,0,1,0,1.0,68,7,3,0,0.7,0.0,2020-09-14T19:15:00Z,90,5,0,0,0,0,1,0,102974,3,1,8.0,2,0,0,0,65,True,0,1
Oliver McBurnie,FWD,Sheffield Utd,1.8,0,0,3,0,15.3,357,8,2,0,6.8,12.0,2020-09-14T17:00:00Z,90,20,0,0,0,0,1,0,45716,2,0,41.0,1,0,0,0,60,True,1,1
Olivier Giroud,FWD,Chelsea,3.3,0,0,0,0,0.0,103,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,75648,3,1,0.0,0,0,0,0,70,False,0,1
Patrick Bamford,FWD,Leeds,0.1,0,1,28,0,0.5,202,3,3,1,6.8,40.0,2020-09-12T16:30:00Z,61,11,0,0,0,0,1,0,226666,3,4,27.0,7,0,0,0,55,False,0,1
Raúl Jiménez,FWD,Wolves,3.0,0,2,29,1,8.5,460,8,0,1,9.8,41.2,2020-09-14T17:00:00Z,90,15,0,0,0,0,1,0,1082647,2,0,48.0,8,0,0,0,85,False,0,1
Rhian Brewster,FWD,Liverpool,2.5,0,0,0,0,0.0,262,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,10,0,0,0,0,1,0,339175,3,4,0.0,0,0,0,0,45,True,0,1
Richarlison de Andrade,FWD,Everton,2.3,0,0,17,1,13.8,166,4,0,0,10.7,26.2,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,0,583310,1,0,67.0,2,0,0,0,80,False,0,1
Roberto Firmino,FWD,Liverpool,5.0,0,0,10,0,7.2,249,3,3,0,5.1,5.8,2020-09-12T16:30:00Z,90,10,0,0,0,0,1,0,248434,3,4,38.0,1,0,0,0,95,True,1,1
Rodrigo Moreno,FWD,Leeds,0.3,0,0,0,0,0.3,492,3,1,0,0.0,0.0,2020-09-12T16:30:00Z,28,11,0,0,0,0,1,0,462199,3,4,0.0,1,0,0,0,60,False,0,1
Shane Long,FWD,Southampton,1.5,0,0,4,0,0.0,361,1,0,0,0.4,2.0,2020-09-12T14:00:00Z,5,6,0,0,0,0,1,0,87664,0,1,2.0,1,0,0,0,55,False,0,1
Sébastien Haller,FWD,West Ham,2.1,0,0,2,0,10.7,441,6,1,0,4.1,2.4,2020-09-12T19:00:00Z,23,14,0,0,0,0,1,0,35853,2,0,28.0,1,0,0,0,65,True,0,1
Tammy Abraham,FWD,Chelsea,3.6,0,0,0,0,0.0,118,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,278989,3,1,0.0,0,0,0,0,75,False,0,1
Timo Werner,FWD,Chelsea,4.5,1,0,10,0,11.7,117,7,1,0,9.6,4.8,2020-09-14T19:15:00Z,90,3,0,0,0,0,1,0,2838333,3,1,79.0,5,0,0,0,95,False,0,1
