,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Bailey Peacock-Farrell,0.0,0,0,0,0,0.0,99,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,1,0,0
1,Zack Steffen,1.0,0,0,0,0,0.0,538,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,0,0,0
2,Fabricio Agosto Ramírez,-0.5,0,0,0,0,0.0,171,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,40,1,0,0
3,Karl Darlow,2.4,0,0,14,0,0.0,325,1,0,1.8,18.2,90,0,0,0,3,1,1,0.0,3,50,0,0,3
4,Bernd Leno,2.5,0,0,11,0,0.0,8,1,0,1.2,12.0,90,0,0,0,1,1,0,0.0,2,50,1,0,7
5,Illan Meslier,3.7,0,0,27,1,0.0,213,0,0,2.4,23.6,90,0,0,0,3,3,0,0.0,7,45,0,0,1
6,Sam Johnstone,5.2,0,2,16,0,0.0,417,1,0,2.0,20.2,90,0,0,0,3,1,1,0.0,5,45,0,0,1
7,Edouard Mendy,4.3,0,0,27,1,0.0,548,0,0,1.9,18.8,90,0,0,0,4,0,0,0.0,7,50,0,0,6
8,Claudio Bravo,0.0,0,0,0,0,0.0,267,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,0,0,0
9,Matija Sarkic,0.0,0,0,0,0,0.0,472,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
10,Alphonse Areola,2.0,0,0,24,0,0.0,516,2,0,5.9,59.0,90,0,0,0,8,2,1,0.0,3,45,1,0,6
11,Jack Butland,0.0,0,0,0,0,0.0,586,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,0,0,0
12,Robin Olsen,0.5,0,0,0,0,0.0,573,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,45,0,0,1
13,Alisson Ramses Becker,1.0,0,0,13,0,0.0,252,1,0,1.5,14.8,90,0,0,0,1,1,2,0.0,2,59,1,0,2
14,Kamil Miazek,0.0,0,0,0,0,0.0,208,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,40,0,0,0
15,Caoimhin Kelleher,1.0,0,0,0,0,0.0,560,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,45,1,0,0
16,Marek Rodák,-0.5,0,0,0,0,0.0,186,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,44,1,0,0
17,Joe Hart,0.5,0,0,0,0,0.0,482,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,44,0,0,0
18,Mark Gillespie,-0.5,0,0,0,0,0.0,488,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,0,0,0
19,Martin Dubravka,0.0,0,0,0,0,0.0,326,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,49,0,0,0
20,Mathew Ryan,1.5,0,0,14,0,0.3,70,1,0,1.3,12.2,90,0,0,0,2,1,1,0.0,2,45,1,0,0
21,Jason Steele,0.5,0,0,0,0,0.0,528,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,1,0,0
22,Dean Henderson,0.0,0,0,0,0,0.0,305,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,54,1,0,0
23,Willy Caballero,0.0,0,0,0,0,0.0,101,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,48,0,0,0
24,Francisco Casilla Cortés,0.0,0,0,0,0,0.0,194,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,43,0,0,0
25,David Button,-0.5,0,0,0,0,0.0,56,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,0,0,0
26,Angus Gunn,0.0,0,0,0,0,0.0,371,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,44,1,0,0
27,David Martin,-1.0,0,0,0,0,0.0,429,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,1,0,0
28,Ederson Santana de Moraes,4.2,0,0,10,0,0.0,278,1,0,0.8,7.8,90,0,0,0,1,1,1,0.0,2,60,0,0,6
29,Christian Walton,0.4,0,0,0,0,0.0,503,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,1,0,0
30,Marcus Bettinelli,0.0,0,0,0,0,0.0,183,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,44,1,0,0
31,Nick Pope,4.2,0,0,15,0,0.0,96,1,0,2.0,19.6,90,0,0,0,2,1,0,0.0,2,55,1,0,3
32,Matt Macey,0.0,0,0,0,0,0.0,527,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,1,0,0
